Video,Keyword,Resource
,,
Video_001,,
,Power Point,http://pt.dbpedia.org/resource/Microsoft_PowerPoint
,Access,http://pt.dbpedia.org/resource/Microsoft_Access
,Slides,http://pt.dbpedia.org/resource/Diapositivo
,Tabela,http://pt.dbpedia.org/resource/Tabela
,Corretor ortográfico,http://pt.dbpedia.org/resource/Corretor_ortogr%C3%A1fico
,Clipart,http://pt.dbpedia.org/resource/Clipart
,Sistema gerenciador de banco de dados,http://pt.dbpedia.org/resource/Sistema_de_gerenciamento_de_banco_de_dados
,Formulário,http://pt.dbpedia.org/resource/Formul%C3%A1rio
,Relatório,http://pt.dbpedia.org/resource/Relat%C3%B3rio
,,
Video_002,,
,Números,http://pt.dbpedia.org/resource/N%C3%BAmero
,Conjuntos Numéricos,http://pt.dbpedia.org/resource/N%C3%BAmero
,Sistema de numeraçaÞo decimal,http://pt.dbpedia.org/resource/Sistema_de_numera%C3%A7%C3%A3o_decimal
,Números naturais,http://pt.dbpedia.org/resource/N%C3%BAmero_natural
,Números negativos,http://pt.dbpedia.org/resource/N%C3%BAmero_negativo
,Números inteiros,http://pt.dbpedia.org/resource/N%C3%BAmero_inteiro
,Unidade de Medida,http://pt.dbpedia.org/resource/Unidade_de_medida
,Números racionais,http://pt.dbpedia.org/resource/N%C3%BAmero_racional
,Números irracionais,http://pt.dbpedia.org/resource/N%C3%BAmero_irracional
,,
Video_003,,
,FraçaÞo,http://pt.dbpedia.org/resource/Fra%C3%A7%C3%A3o
,Denominador,http://pt.dbpedia.org/resource/Fra%C3%A7%C3%A3o
,Numerador,http://pt.dbpedia.org/resource/Fra%C3%A7%C3%A3o
,AdiçaÞo,http://pt.dbpedia.org/resource/Adi%C3%A7%C3%A3o
,SubtraçaÞo,http://pt.dbpedia.org/resource/Subtra%C3%A7%C3%A3o
,DivisaÞo,http://pt.dbpedia.org/resource/Divis%C3%A3o
,,
Video_004,,
,Psicologia,http://pt.dbpedia.org/resource/Psicologia
,Comportamento,http://pt.dbpedia.org/resource/Comportamento
,ExperimentaçaÞo,http://pt.dbpedia.org/resource/Experimenta%C3%A7%C3%A3o
,ObservaçaÞo,http://pt.dbpedia.org/resource/Observa%C3%A7%C3%A3o
,Psicologia organizacional,http://pt.dbpedia.org/resource/Psicologia_organizacional
,Trabalhador,http://pt.dbpedia.org/resource/Trabalhador
,Tempos Modernos,http://pt.dbpedia.org/resource/Tempos_Modernos
,Charlie Chaplin,http://pt.dbpedia.org/resource/Charlie_Chaplin
,Psicologia industrial,http://pt.dbpedia.org/resource/Psicologia_organizacional
,Tarsila do Amaral,http://pt.dbpedia.org/resource/Tarsila_do_Amaral
,,
Video_005,,
,PercepçaÞo,http://pt.dbpedia.org/resource/Percep%C3%A7%C3%A3o
,Comportamento,http://pt.dbpedia.org/resource/Comportamento
,AdministraçaÞo pública,http://pt.dbpedia.org/resource/Administra%C3%A7%C3%A3o_p%C3%BAblica
,,
Video_006,,
,Liderança,http://pt.dbpedia.org/resource/Lideran%C3%A7a
,AdministraçaÞo,http://pt.dbpedia.org/resource/Administra%C3%A7%C3%A3o
,Parábola,http://pt.dbpedia.org/resource/Par%C3%A1bola
,Autocrático,http://pt.dbpedia.org/resource/Lideran%C3%A7a
,Laissez-faire,http://pt.dbpedia.org/resource/Lideran%C3%A7a
,Liderança paternalista,http://pt.dbpedia.org/resource/Lideran%C3%A7a
,ParticipaçaÞo,http://pt.dbpedia.org/resource/Lideran%C3%A7a
,Liderança situacional,http://pt.dbpedia.org/resource/Lideran%C3%A7a_situacional
,,
Video_007,,
,ComputaçaÞo gráfica,http://pt.dbpedia.org/resource/Computa%C3%A7%C3%A3o_gr%C3%A1fica
,Processamento de imagem,http://pt.dbpedia.org/resource/Processamento_de_imagem
,Imagem,http://pt.dbpedia.org/resource/Imagem
,Pixel,http://pt.dbpedia.org/resource/Pixel
,CompressaÞo de imagens,http://pt.dbpedia.org/resource/Compress%C3%A3o_de_imagens
,VisaÞo computacional,http://pt.dbpedia.org/resource/Vis%C3%A3o_computacional
,,
Video_008,,
,Ciência da computaçaÞo,http://pt.dbpedia.org/resource/Ci%C3%AAncia_da_computa%C3%A7%C3%A3o
,Banco de dados,http://pt.dbpedia.org/resource/Banco_de_dados
,AplicaçoÞes,http://pt.dbpedia.org/resource/Software_aplicativo
,Sistema gerenciador de banco de dados,http://pt.dbpedia.org/resource/Sistema_de_gerenciamento_de_banco_de_dados
,DDL,http://pt.dbpedia.org/resource/Linguagem_de_defini%C3%A7%C3%A3o_de_dados
,SQL,http://pt.dbpedia.org/resource/SQL
,XML,http://pt.dbpedia.org/resource/XML
,PLSQL,http://pt.dbpedia.org/resource/PLSQL
,OCL,http://pt.dbpedia.org/resource/OCL
,Armazém de dados,http://pt.dbpedia.org/resource/Armaz%C3%A9m_de_dados
,MineraçaÞo de dados,http://pt.dbpedia.org/resource/Minera%C3%A7%C3%A3o_de_dados
,Banco de dados relacionais,http://pt.dbpedia.org/resource/Banco_de_dados_relacional
,Álgebra relacional,http://pt.dbpedia.org/resource/%C3%81lgebra_relacional
,,
Video_009,,
,Ciência da computaçaÞo,http://pt.dbpedia.org/resource/Ci%C3%AAncia_da_computa%C3%A7%C3%A3o
,OrganizaçaÞo de computadores,http://pt.dbpedia.org/resource/Microarquitetura
,Arquitetura de computadores,http://pt.dbpedia.org/resource/Arquitetura_de_computadores
,Processador,http://pt.dbpedia.org/resource/Microprocessador
,Circuitos digitais,http://pt.dbpedia.org/resource/Circuito_digital
,Lógica digital,http://pt.dbpedia.org/resource/Porta_l%C3%B3gica
,Unidade central de processamento,http://pt.dbpedia.org/resource/Unidade_central_de_processamento
,Memória,http://pt.dbpedia.org/resource/Mem%C3%B3ria_(inform%C3%A1tica)
,Dispositivos de entrada/saída,http://pt.dbpedia.org/resource/Entrada/sa%C3%ADda
,Barramento,http://pt.dbpedia.org/resource/Barramento
,Placa-maÞe,http://pt.dbpedia.org/resource/Placa-m%C3%A3e
,Assembly,http://pt.dbpedia.org/resource/Assembly
,Compilador,http://pt.dbpedia.org/resource/Compilador
,,
Video_010,,
,Algoritmos,http://pt.dbpedia.org/resource/Algoritmo
,Ciência da computaçaÞo,http://pt.dbpedia.org/resource/Ci%C3%AAncia_da_computa%C3%A7%C3%A3o
,Problemas matemáticos,http://pt.dbpedia.org/resource/Problema_matem%C3%A1tico
,EquaçoÞes diferenciais,http://pt.dbpedia.org/resource/Equa%C3%A7%C3%A3o_diferencial
,EquaçoÞes diferenciais ordinárias,http://pt.dbpedia.org/resource/Equa%C3%A7%C3%A3o_diferencial_ordin%C3%A1ria
,EquaçoÞes diferenciais parciais,http://pt.dbpedia.org/resource/Equa%C3%A7%C3%A3o_diferencial_parcial
,Álgebra linear,http://pt.dbpedia.org/resource/%C3%81lgebra_linear
,Sistemas de equaçoÞes lineares,http://pt.dbpedia.org/resource/Sistema_de_equa%C3%A7%C3%B5es_lineares
,OtimizaçaÞo,http://pt.dbpedia.org/resource/Otimiza%C3%A7%C3%A3o
,,
Video_011,,
,Inteligência artificial,http://pt.dbpedia.org/resource/Intelig%C3%AAncia_artificial
,Aprendizado de máquina,http://pt.dbpedia.org/resource/Aprendizado_de_m%C3%A1quina
,VisaÞo computacional,http://pt.dbpedia.org/resource/Vis%C3%A3o_computacional
,Lógica difusa,http://pt.dbpedia.org/resource/L%C3%B3gica_difusa
,Rede neural artificial,http://pt.dbpedia.org/resource/Rede_neural_artificial
,Solucionador de problemas gerais,http://pt.dbpedia.org/resource/General_Problem_Solver
,Teste de Turing,http://pt.dbpedia.org/resource/Teste_de_Turing
,Processamento de linguagem natural,http://pt.dbpedia.org/resource/Processamento_de_linguagem_natural
,Alice,http://pt.dbpedia.org/resource/A.L.I.C.E.
,Rede neural artificial,http://pt.dbpedia.org/resource/Rede_neural_artificial
,Algoritmos genéticos,http://pt.dbpedia.org/resource/Algoritmo_gen%C3%A9tico
,Robótica,http://pt.dbpedia.org/resource/Rob%C3%B3tica
,Lógica matemática,http://pt.dbpedia.org/resource/L%C3%B3gica_matem%C3%A1tica
,Grafos,http://pt.dbpedia.org/resource/Teoria_dos_grafos
,Estrutura de dados,http://pt.dbpedia.org/resource/Estrutura_de_dados
,Estatística,http://pt.dbpedia.org/resource/Estat%C3%ADstica
,Cálculo,http://pt.dbpedia.org/resource/C%C3%A1lculo
,Banco de dados,http://pt.dbpedia.org/resource/Banco_de_dados
,,
Video_012,,
,OtimizaçaÞo combinatória,http://pt.dbpedia.org/resource/Otimiza%C3%A7%C3%A3o_combinat%C3%B3ria
,Pesquisa operacional,http://pt.dbpedia.org/resource/Investiga%C3%A7%C3%A3o_operacional
,OtimizaçaÞo,http://pt.dbpedia.org/resource/Otimiza%C3%A7%C3%A3o
,Caixeiro-viajante,http://pt.dbpedia.org/resource/Caixeiro-viajante
,Inteligência computacional,http://pt.dbpedia.org/resource/Intelig%C3%AAncia_computacional
,ProgramaçaÞo dinâmica,http://pt.dbpedia.org/resource/Programa%C3%A7%C3%A3o_din%C3%A2mica
,Heurística,http://pt.dbpedia.org/resource/Heur%C3%ADstica
,Algoritmos genéticos,http://pt.dbpedia.org/resource/Algoritmo_gen%C3%A9tico
,Algoritmos,http://pt.dbpedia.org/resource/Algoritmo
,ComputaçaÞo evolucionista,http://pt.dbpedia.org/resource/Computa%C3%A7%C3%A3o_evolucion%C3%A1ria
,Biologia computacional,http://pt.dbpedia.org/resource/Biologia_computacional
,,
Video_013,,
,Informática,http://pt.dbpedia.org/resource/Inform%C3%A1tica
,EducaçaÞo,http://pt.dbpedia.org/resource/Educa%C3%A7%C3%A3o
,Internet,http://pt.dbpedia.org/resource/Internet
,Informática educativa,http://pt.dbpedia.org/resource/Inform%C3%A1tica_educativa
,Dispositivos móveis,http://pt.dbpedia.org/resource/Dispositivo_m%C3%B3vel
,Aplicativos,http://pt.dbpedia.org/resource/Software_aplicativo
,Jogos,http://pt.dbpedia.org/resource/Jogo
,Ambiente virtual de aprendizagem,http://pt.dbpedia.org/resource/Ambiente_virtual_de_aprendizagem
,Realidade virtual,http://pt.dbpedia.org/resource/Realidade_virtual
,Realidade aumentada,http://pt.dbpedia.org/resource/Realidade_aumentada
,Software educacional,http://pt.dbpedia.org/resource/Software_educativo
,,
Video_014,,
,Bioinformática,http://pt.dbpedia.org/resource/Bioinform%C3%A1tica
,Genoma,http://pt.dbpedia.org/resource/Genoma
,Genes,http://pt.dbpedia.org/resource/Gene
,DNA,http://pt.dbpedia.org/resource/%C3%81cido_desoxirribonucleico
,RNA,http://pt.dbpedia.org/resource/%C3%81cido_ribonucleico
,Proteína,http://pt.dbpedia.org/resource/Prote%C3%ADna
,Códon,http://pt.dbpedia.org/resource/Cod%C3%A3o
,Alinhamento de seqüências,http://pt.dbpedia.org/resource/Alinhamento_de_seq%C3%BC%C3%AAncias
,Alinhamento múltiplo de sequências,http://pt.dbpedia.org/resource/Alinhamento_m%C3%BAltiplo_de_sequ%C3%AAncias
,Estatística,http://pt.dbpedia.org/resource/Estat%C3%ADstica
,Inteligência computacional,http://pt.dbpedia.org/resource/Intelig%C3%AAncia_computacional
,ComputaçaÞo gráfica,http://pt.dbpedia.org/resource/Computa%C3%A7%C3%A3o_gr%C3%A1fica
,,
Video_015,,
,Sistemas de equaçoÞes lineares,http://pt.dbpedia.org/resource/Sistema_de_equa%C3%A7%C3%B5es_lineares
,Coeficientes,http://pt.dbpedia.org/resource/Coeficiente
,Determinante,http://pt.dbpedia.org/resource/Determinante
,Matriz,http://pt.dbpedia.org/resource/Matriz_(matem%C3%A1tica)
,Retas,http://pt.dbpedia.org/resource/Reta
,Métodos iterativos,http://pt.dbpedia.org/resource/M%C3%A9todo_iterativo
,Matriz triangular,http://pt.dbpedia.org/resource/Matriz_triangular
