"Id Video
"	"Descrição Vídeo
"	Palavras Chaves	"Vídeo Relacionado
"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula01/Aula01.xml	Computação gráfica e processamento de imagens	"Sintese de Imagens, Algoritimos, visao computacional, pixel, Algoritimos, Vetores, Matrizes, compressão de imagens, medicina, simulaçao de processos de produçao, jogos, Realidade aumentada, realidade virtual, álgebra Linear, Geometria analítica, Algoriitmos, linguagens de programação.
"	Inteligencia Artificial, Informatica na educação, Algoritmos Aula 4. Algoritmos Aula 5, Algoritmos Aula 6
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula02/Aula02.xml	Bancos de Dados	Segurança de dados, SGBD, computação distribuida, multimidia, localização geografica, armazens de dados, padrões de dados, programaçao, SLQ, estruturas de dados, Sistemas operacionais, algebra, estatistica. 	Redes de Computadores, Minicurso Bigdata, Algoritmos Aula 8, Estatistica Aula 2
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula03/Aula03.xml	Arquitetura e Organização de computadores	processadores, memorias, perifericos, circuitos digitais, Linguagem de baixo nivel, Assenbly, compilação, compilador, caminho de dados e controle multiprocessadores, multicomputadores	Redes de computadores
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula04/Aula04.xml	Redes de Computadores	Protocolos de comunicaçao, Distribuiçao de serviços, Clusters, computaçao em Nuvem, servidores, Segurança, Sistemas operacionais	Arquiteura e organização de computadores
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula05/Aula05.xml	Métodos Númericos	"Equaçoes Diferencias Parciais, problemas de otimizaçao, aproximaçao  minimos quadrados, Algebra linear, equaçoes lineares, Algoritmos, computação parelala
"	Inteligencia Artificial, Cálculo Numerico aula 1, Cálculo Numerico Aula 2, Calculo Numerico Aula 3, Cálculo Numerico Aula 4
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula06/Aula06.xml	Inteligencia Artificial	"Aprendizagem de máquina, visão computacional,  problemas de decisão, Sistemas inteligentes, GPS, Jogos, teste de 
turing, procesasmento de linguagem natural, Agentes geneticos, Problemas
 de otimizaçao, robótica, visão computacional, logica, Grafos, estruturas de dados, estatistica, probabilidade, recuperação de de informação "	"Computação gráfica, 
Métodos Númericos,
Bancos de Dados,
Otimização combinatoria"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula08/Aula08.xml	Otimização combinatória	"Problemas de otimizaçao, (Minimizaçao e Maximizaçao), caixeiro viajante, complexidade de algoritimos, teoria de grafos, inteligência computacional, Grafos, GRASP, busca Tabu, busca heuristica, meta euristica, AG, colonia de formigas, colonia de abelhas, Logica, programaçao com restriçoes, 
"	"Metodos Númericos,
Inteligencia Artificial"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula09/Aula09.xml	Informática na educação	Educaçao, informaçoes, comunicação, tecnologia, processo de aprendizagem, ambientes virtuais na educação, realidade aumentada	Bancos de Dados, Computação Grafica
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula10/Aula10.xml	Bio-Informatica	Biologia, Gene, DNA, RNA, Proteina, Molécula, aminoácido, Códon, Ensima, Ribossomo, Redes Neurais, Modelos de marcov, computação gráfica	Inteligencia Artificial, Computaçao Grafica, Minucurso Big Data, Estatistica aula 2
http://gia.inf.ufrgs.br/ontologies/videoaula/documentacao	Minicurso Big data	Banco de dados Redes sociais, Recuperaçao de informaçao, Mineraçõa de Dados, SQL, XML, NoSQL, Banco de Dados de Grafos, RDF, Grafos, Modelos relacionais, DBPEDIA, SPARQL, estatistica, matematica	"Banco de dados, 
Estatistica Aula 2
"
