"Video"	"Description"	"Keywords"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula01/Aula01.xml	ComputaçaÞo gráfica e processamento de imagens	"Sintese de Imagens, Algoritimos, visao computacional, pixel, Algoritimos, Vetores, Matrizes, compressaÞo de imagens, medicina, simulaçao de processos de produçao, jogos, Realidade aumentada, realidade virtual, álgebra Linear, Geometria analítica, Algoriitmos, linguagens de programaçaÞo.
"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula02/Aula02.xml	Bancos de Dados	Segurança de dados, SGBD, computaçaÞo distribuida, multimidia, localizaçaÞo geografica, armazens de dados, padroÞes de dados, programaçao, SLQ, estruturas de dados, Sistemas operacionais, algebra, estatistica. 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula03/Aula03.xml	Arquitetura e OrganizaçaÞo de computadores	processadores, memorias, perifericos, circuitos digitais, Linguagem de baixo nivel, Assenbly, compilaçaÞo, compilador, caminho de dados e controle multiprocessadores, multicomputadores
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula04/Aula04.xml	Redes de Computadores	Protocolos de comunicaçao, Distribuiçao de serviços, Clusters, computaçao em Nuvem, servidores, Segurança, Sistemas operacionais
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula05/Aula05.xml	Métodos Númericos	"Equaçoes Diferencias Parciais, problemas de otimizaçao, aproximaçao  minimos quadrados, Algebra linear, equaçoes lineares, Algoritmos, computaçaÞo parelala
"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula06/Aula06.xml	Inteligencia Artificial	"Aprendizagem de máquina, visaÞo computacional,  problemas de decisaÞo, Sistemas inteligentes, GPS, Jogos, teste de 
turing, procesasmento de linguagem natural, Agentes geneticos, Problemas
 de otimizaçao, robótica, visaÞo computacional, logica, Grafos, estruturas de dados, estatistica, probabilidade, recuperaçaÞo de de informaçaÞo "
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula08/Aula08.xml	OtimizaçaÞo combinatória	"Problemas de otimizaçao, (Minimizaçao e Maximizaçao), caixeiro viajante, complexidade de algoritimos, teoria de grafos, inteligência computacional, Grafos, GRASP, busca Tabu, busca heuristica, meta euristica, AG, colonia de formigas, colonia de abelhas, Logica, programaçao com restriçoes, 
"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula09/Aula09.xml	Informática na educaçaÞo	Educaçao, informaçoes, comunicaçaÞo, tecnologia, processo de aprendizagem, ambientes virtuais na educaçaÞo, realidade aumentada
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula10/Aula10.xml	Bio-Informatica	Biologia, Gene, DNA, RNA, Proteina, Molécula, aminoácido, Códon, Ensima, Ribossomo, Redes Neurais, Modelos de marcov, computaçaÞo gráfica
http://gia.inf.ufrgs.br/ontologies/videoaula/documentacao	Minicurso Big data	Banco de dados Redes sociais, Recuperaçao de informaçao, MineraçoÞa de Dados, SQL, XML, NoSQL, Banco de Dados de Grafos, RDF, Grafos, Modelos relacionais, DBPEDIA, SPARQL, estatistica, matematica
http://gia.inf.ufrgs.br/ontologies/videoaula/documentacao	Minicurso Git	Controle de versoÞes, Git, Implementaçao, Desenvolvimento de Software, Equipe, gerencia de configuraçao,
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/ceadteste/parte_1/parte1.xml	Gravitaçao Aula Teste	Fisica, Universo, Copermico, corpos celestes, Leis de Kepler, planetas, elipses, sol, teoria eliocentrica, circulos
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc008/aula01/video1.xml	Cálculo Numerico - Aula 1	SoliçoÞes Numericas, Sistemas Lineares, Algebra linear, equaçaÞo linerar, Matrizes, Posto, Determinante, Sistema Impossivel, Sistema possivel, Sistema Indeterminado, Matriz triagular superior, Metodos Diretos
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc008/aula02/Video.xml	Calculo Numerico -Aula 2	"EliminaçaÞo de Gaus, Método diretos
"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc008/aula03/aula.xml	Calculo Numerico -Aula 3	"EliminaçaÞo de Gaus, Método diretos, pivoteamento
"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc008/aula04/Calc_4.xml	Cálculo Numerico - Aula 4	"EliminaçaÞo de Gaus, Método diretos, pivoteamento
"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula1/dcc119_aula1.xml	Algoritmos Aula 1	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem
