"Id Video"	"Vídeo Relacionado"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula01/Aula01.xml	Inteligencia Artificial, Informatica na educaçaÞo, Algoritmos Aula 4. Algoritmos Aula 5, Algoritmos Aula 6
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula02/Aula02.xml	Redes de Computadores, Minicurso Bigdata, Algoritmos Aula 8, Estatistica Aula 2
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula03/Aula03.xml	Redes de computadores
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula04/Aula04.xml	Arquiteura e organizaçaÞo de computadores
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula05/Aula05.xml	Inteligencia Artificial, Cálculo Numerico aula 1, Cálculo Numerico Aula 2, Calculo Numerico Aula 3, Cálculo Numerico Aula 4
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula06/Aula06.xml	"ComputaçaÞo gráfica, 
Métodos Númericos,
Bancos de Dados,
OtimizaçaÞo combinatoria"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula08/Aula08.xml	"Metodos Númericos,
Inteligencia Artificial"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula09/Aula09.xml	Bancos de Dados, ComputaçaÞo Grafica
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencia_da_computacao/DCC116/Aula10/Aula10.xml	Inteligencia Artificial, Computaçao Grafica, Minucurso Big Data, Estatistica aula 2
http://gia.inf.ufrgs.br/ontologies/videoaula/documentacao	"Banco de dados, 
Estatistica Aula 2
"
http://gia.inf.ufrgs.br/ontologies/videoaula/documentacao	
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/ceadteste/parte_1/parte1.xml	
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc008/aula01/video1.xml	Métodos Numericos, Cálculo Numerico Aula 1, Calculo Numerico Aula 2, Calculo Numerico Aula 3. Calculo Numerico Aula 4
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc008/aula02/Video.xml	Métodos Numericos, Cálculo Numerico Aula 1, Calculo Numerico Aula 2, Calculo Numerico Aula 3. Calculo Numerico Aula 4
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc008/aula03/aula.xml	Métodos Numericos, Cálculo Numerico Aula 1, Calculo Numerico Aula 2, Calculo Numerico Aula 3. Calculo Numerico Aula 4
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc008/aula04/Calc_4.xml	Métodos Numericos, Cálculo Numerico Aula 1, Calculo Numerico Aula 2, Calculo Numerico Aula 3. Calculo Numerico Aula 4
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula1/dcc119_aula1.xml	Algoritmos Aula 2, Algoritmos Aula 3, Algoritmos Aula 4, Algoritmos Aula 5, Algoritmos Aula 6, Algoritmos Aula 7, Algoritmos Aula 8, Algoritmos Aula 9, Algoritmos Aula teste, Algoritmos exercicio 1, Calor e temperatura
