Video,Xml,Service
Video_001,http://va05-idc.rnp.br/riotransfer/ufjf/administracao_publica/admeadinf/aula5/ead_fonseca_05_sd.xml,Videoaula@RNP
Video_002,http://va05-idc.rnp.br/riotransfer/ufjf/administracao_publica/matematica/aula1/pric1.xml,Videoaula@RNP
Video_003,http://va05-idc.rnp.br/riotransfer/ufjf/administracao_publica/matematica/aula2/pric2.xml,Videoaula@RNP
Video_004,http://va05-idc.rnp.br/riotransfer/ufjf/administracao_publica/psicologia/aula1/pscaula1.xml,Videoaula@RNP
Video_005,http://va05-idc.rnp.br/riotransfer/ufjf/administracao_publica/psicologia/aula3/pscaula3.xml,Videoaula@RNP
Video_006,http://va05-idc.rnp.br/riotransfer/ufjf/administracao_publica/psicologia/aula4/pscaula4.xml,Videoaula@RNP
Video_007,http://va05-idc.rnp.br/riotransfer/ufjf/ciencia_da_computacao/DCC116/Aula01/Aula01.xml,Videoaula@RNP
Video_008,http://va05-idc.rnp.br/riotransfer/ufjf/ciencia_da_computacao/DCC116/Aula02/Aula02.xml,Videoaula@RNP
Video_009,http://va05-idc.rnp.br/riotransfer/ufjf/ciencia_da_computacao/DCC116/Aula03/Aula03.xml,Videoaula@RNP
Video_010,http://va05-idc.rnp.br/riotransfer/ufjf/ciencia_da_computacao/DCC116/Aula05/Aula05.xml,Videoaula@RNP
Video_011,http://va05-idc.rnp.br/riotransfer/ufjf/ciencia_da_computacao/DCC116/Aula06/Aula06.xml,Videoaula@RNP
Video_012,http://va05-idc.rnp.br/riotransfer/ufjf/ciencia_da_computacao/DCC116/Aula08/Aula08.xml,Videoaula@RNP
Video_013,http://va05-idc.rnp.br/riotransfer/ufjf/ciencia_da_computacao/DCC116/Aula09/Aula09.xml,Videoaula@RNP
Video_014,http://va05-idc.rnp.br/riotransfer/ufjf/ciencia_da_computacao/DCC116/Aula10/Aula10.xml,Videoaula@RNP
Video_015,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc008/aula01/video1.xml,Videoaula@RNP
Video_016,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc008/aula03/aula.xml,Videoaula@RNP
Video_017,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc008/aula04/Calc_4.xml,Videoaula@RNP
Video_018,http://va05-idc.rnp.br/riotransfer/cederj/sistemas_comp/ead05011/Aula_008/Aula_008.xml,Videoaula@RNP
Video_019,http://va05-idc.rnp.br/riotransfer/ufjf/treinamento/matadm2.xml,Videoaula@RNP
Video_020,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/aula1/dcc119_aula1.xml,Videoaula@RNP
Video_021,http://va05-idc.rnp.br/riotransfer/ufjf/licenciatura_quimica/eadqui025/aula1/eadqui025_aula1.xml,Videoaula@RNP
Video_022,http://va05-idc.rnp.br/riotransfer/ufjf/licenciatura_quimica/eadqui025/aula1-parte3/eadqui025-aula1-parte3.xml,Videoaula@RNP
Video_023,http://va05-idc.rnp.br/riotransfer/ufjf/licenciatura_quimica/eadqui025/aula2/eadqui025_aula2.xml,Videoaula@RNP
Video_024,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/aula2/dcc119_aula2.xml,Videoaula@RNP
Video_025,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/aula3/dcc119_aula3.xml,Videoaula@RNP
Video_026,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/aula4/dcc119_aula4.xml,Videoaula@RNP
Video_027,http://va05-idc.rnp.br/riotransfer/ufjf/licenciatura_quimica/eadqui030/aula4e5/eadqui030_aula4e5.xml,Videoaula@RNP
Video_028,http://va05-idc.rnp.br/riotransfer/ufjf/licenciatura_quimica/eadqui056/Aula3/aula2.xml,Videoaula@RNP
Video_029,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/aula5/dcc119_aula5.xml,Videoaula@RNP
Video_030,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/aula6/dcc119_aula6.xml,Videoaula@RNP
Video_031,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/aula7/dcc119_aula7.xml,Videoaula@RNP
Video_032,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/aula8/dcc119_aula8.xml,Videoaula@RNP
Video_033,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/aula9/dcc119_aula9.xml,Videoaula@RNP
Video_034,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/est029/aula1/aula1.xml,Videoaula@RNP
Video_035,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/est029/aula2/aula2.xml,Videoaula@RNP
Video_036,http://va05-idc.rnp.br/riotransfer/ufjf/licenciatura_computacao/eaddcc007/videoaula5/videoaula5.xml,Videoaula@RNP
Video_037,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/Exercicio_01/video.xml,Videoaula@RNP
Video_038,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/dcc119/Exercicio_02/Ex02.xml,Videoaula@RNP
Video_039,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/fisica/fisica2/cap14/fluidos.xml,Videoaula@RNP
Video_040,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/fisica/fisica2/cap15parte1/ondassergio.xml,Videoaula@RNP
Video_041,http://va05-idc.rnp.br/riotransfer/cederj/sistemas_comp/ead05020/Aula_002/Aula_002.xml,Videoaula@RNP
Video_042,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/fisica/fisica2/cap17/temperaturaecalor.xml,Videoaula@RNP
Video_043,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/fisica/fisica2/cap18parte2/Gil.xml,Videoaula@RNP
Video_044,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/qui125/aula1/qui125_aula1.xml,Videoaula@RNP
Video_045,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/qui125/aula2/qui125_aula2.xml,Videoaula@RNP
Video_046,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/qui125/aula3/qui125_aula3.xml,Videoaula@RNP
Video_047,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/qui125/aula4/qui125_aula4.xml,Videoaula@RNP
Video_048,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/qui125/aula5/qui125_aula5.xml,Videoaula@RNP
Video_049,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/qui125/aula6/qui125_aula6.xml,Videoaula@RNP
Video_050,http://va05-idc.rnp.br/riotransfer/ufjf/ciencias_exatas/qui125/aula7/qui125_aula7.xml,Videoaula@RNP
